,dDiffInt,eps,ipoyear,liabilities,marketcap,netinc,pctSharesBotSld,pe,qoq_earnings,revenue,rnd,sector,sharesownedbeforetransaction,sharesownedfollowingtransaction,transactionshares,yoy_sales
Equity(2896 [TXN]),30.0,1.54,-1.0,3140000000.0,45119305079.0,2387000000.0,-72.275711656489,10.595999999999998,3.1621621621621623,3697000000.0,536000000.0,-1.0,1589868.0,1539868.0,-50000.0,0.14140166718122882
Equity(1143 [FRX]),0.0,0.62,-1.0,474279000.0,14985740125.0,200607000.0,-0.2880609088124472,21.639,1.0666666666666669,816338000.0,139082000.0,-1.0,43193656.0,43181216.0,-12440.0,0.14691907171739027
Equity(1896 [MSI]),8.0,3.92,-1.0,18727000000.0,57185008821.0,1384000000.0,-38.4379909779803,11.385,1.0,10876000000.0,1016000000.0,-1.0,243214.0,223214.0,-20000.0,0.23240793201133148
Equity(1225 [GLW]),8.0,0.33,-1.0,5475000000.0,29838525535.0,514000000.0,-179.67672906261802,31.676,0.9411764705882353,1261000000.0,128000000.0,-1.0,1922177.0,1865866.0,-56311.0,0.06144781144781142
Equity(2124 [ORCL]),0.0,0.25,1986.0,14017000000.0,79203539061.0,1300000000.0,2981.3123868822804,23.426,0.6666666666666667,4851000000.0,537000000.0,10.0,2059914.0,1859914.0,-200000.0,0.7525289017341041
Equity(138 [AMAT]),2.0,0.33,-1.0,3107913000.0,25923176276.0,512040000.0,14.465277457582836,19.723,0.26923076923076916,2543443000.0,304326000.0,-1.0,3318291.0,3798291.0,480000.0,0.558541439687047
Equity(45 [ADBE]),1.0,0.21,1986.0,732879000.0,17114742080.0,123097000.0,-0.8532367845625782,32.332,0.16666666666666674,635456000.0,133285000.0,10.0,154119.0,152804.0,-1315.0,0.28108638809424447
Equity(1794 [MDT]),4.0,0.62,-1.0,10282300000.0,54263611046.0,740000000.0,342.7229048540078,21.307,0.1272727272727272,3066700000.0,294000000.0,-1.0,29419.0,69009.0,39590.0,0.1039236861051116
Equity(3172 [YHOO]),3.0,0.12,-1.0,2492900000.0,37277929390.0,164330000.0,-25.157147897373783,29.558000000000003,0.09090909090909083,1575854000.0,208743000.0,-1.0,1604724.0,1524724.0,-80000.0,0.257667815645209
Equity(1926 [MXIM]),26.0,0.38,-1.0,433546000.0,11243401252.0,120309000.0,-23.41237762903297,24.212,0.08571428571428585,478120000.0,119862000.0,-1.0,1433750.0,1427884.0,-5866.0,0.1941148410202873
Equity(1689 [LLTC]),3.0,0.36,-1.0,281363000.0,10687837459.0,110555000.0,-16.052870795764438,25.505,0.0588235294117645,278888000.0,40982000.0,-1.0,40703.0,34169.0,-6534.0,0.09021113243762002
Equity(2337 [QCOM]),18.0,0.38,1991.0,1715000000.0,60674060229.0,643000000.0,-12.16712045047344,25.344,0.05555555555555558,1951000000.0,395000000.0,10.0,80752.0,78178.0,-2574.0,0.4366715758468336
Equity(2675 [STJ]),1.0,0.39,1989.0,2255032000.0,11813742539.0,141032000.0,120.0,26.209,0.05405405405405417,832922000.0,108840000.0,7.0,3000.0,6600.0,3600.0,0.15099322190822972
Equity(705 [CSCO]),13.0,0.23,-1.0,18459000000.0,125266892401.0,1400000000.0,1256.4721548880025,22.465,0.045454545454545414,7322000000.0,1041000000.0,-1.0,2795355.0,2417655.0,-377700.0,0.1834491676095038
Equity(1211 [GILD]),69.0,0.145,1992.0,1981734000.0,28018069140.0,265150000.0,34.691111543292635,28.339000000000002,0.021126760563380254,685302000.0,90536000.0,7.0,1105055.0,1076073.0,-28982.0,0.38369653662958925
Equity(942 [EMC]),1.0,0.12,1988.0,4482189000.0,22755029656.0,279093000.0,-6.845673334942711,20.29,0.0,2574523000.0,299429000.0,10.0,1002458.0,933833.0,-68625.0,0.08825180429649548
Equity(898 [EBAY]),3.0,0.18,1998.0,1966779000.0,34578079280.0,249994000.0,-9.249437564854855,33.491,0.0,1410784000.0,123972000.0,10.0,1554312.0,1494312.0,-60000.0,0.27613284306409236
